Name,SKU,Barcode,Description,Category,Brand,Unit,Supplier,Cost Price,Selling Price,MRP,Quantity,Reorder Level,Max Stock Level,Location,GST Rate,Active
Aashirvaad Iced Tea Fresh Pack of 2 - 53CF,BEV-AASHI-008904625,8901071032892,Natural and healthy Aashirvaad Iced Tea Fresh Pack of 2 - 53CF. No artificial colors or preservatives.,Beverages,Aashirvaad,Box,Ahmedabad Snack Mills,32,46,51,25,20,100,,12,Yes
Havells Coconut Water Organic Pack of 5 - JWMS,BEV-HAVELL-008937369,8907088568416,Natural and healthy Havells Coconut Water Organic Pack of 5 - JWMS. No artificial colors or preservatives.,Beverages,Havells,Pieces,Delhi Wholesale Market,38,54,59,23,20,100,,12,Yes
ITC Sprite Natural Pack of 5 - 1DAS,BEV-ITC-008981729,8901023436369,Natural and healthy ITC Sprite Natural Pack of 5 - 1DAS. No artificial colors or preservatives.,Beverages,ITC,Millilitre,Mumbai FMCG Distributors,41,58,64,88,20,100,,12,Yes
PepsiCo Sprite Deluxe 200ml - F24M,BEV-PEPSI-009015640,8908243978039,Natural and healthy PepsiCo Sprite Deluxe 200ml - F24M. No artificial colors or preservatives.,Beverages,PepsiCo,Pieces,Kolkata Trading Company,50,72,79,58,20,100,,12,Yes
Godrej Mango Juice Economy 1kg - 276U,BEV-GODREJ-009048746,8907259969495,Premium quality Godrej Mango Juice Economy 1kg - 276U with authentic taste. Hygienically packed.,Beverages,Godrej,Pack,Bangalore Fresh Produce,34,49,54,13,20,100,,12,Yes
Tata Sampann Cola Premium 1L - MCIF,BEV-TATAS-009078662,8904041382573,Premium quality Tata Sampann Cola Premium 1L - MCIF with authentic taste. Hygienically packed.,Beverages,Tata Sampann,Litre,Chennai Spice House,52,74,81,19,20,100,,12,Yes
Fortune Apple Juice Classic 250g - 7CJ9,BEV-FORT-009110706,8902099450205,Refreshing Fortune Apple Juice Classic 250g - 7CJ9 from Fortune. Perfect for hot Indian summers.,Beverages,Fortune,Litre,Pune Organic Supplies,34,49,54,62,20,100,,12,Yes
ITC Sprite Special 1kg - YSK2,BEV-ITC-009142688,8904542115025,Refreshing ITC Sprite Special 1kg - YSK2 from ITC. Perfect for hot Indian summers.,Beverages,ITC,Litre,Ahmedabad Snack Mills,39,56,62,88,20,100,,12,Yes
Kelloggs Fresh Lime Super 1kg - IQMV,BEV-KELLO-009174363,8904705537146,Refreshing Kelloggs Fresh Lime Super 1kg - IQMV from Kelloggs. Perfect for hot Indian summers.,Beverages,Kelloggs,Pieces,Kolkata Trading Company,59,84,92,30,20,100,,12,Yes
Tata Sampann Fresh Lime Economy 1L - UXSS,BEV-TATAS-009208434,8901318695258,Natural and healthy Tata Sampann Fresh Lime Economy 1L - UXSS. No artificial colors or preservatives.,Beverages,Tata Sampann,Kilogram,Kolkata Trading Company,41,58,64,27,20,100,,12,Yes
PepsiCo Iced Tea Economy 250g - ISMD,BEV-PEPSI-009240470,8907931826569,Premium quality PepsiCo Iced Tea Economy 250g - ISMD with authentic taste. Hygienically packed.,Beverages,PepsiCo,Millilitre,Mumbai FMCG Distributors,39,56,62,43,20,100,,12,Yes
Marico Fresh Lime Organic 1kg - P976,BEV-MARICO-009273509,8904117545134,Refreshing Marico Fresh Lime Organic 1kg - P976 from Marico. Perfect for hot Indian summers.,Beverages,Marico,Kilogram,Pune Organic Supplies,54,77,85,89,20,100,,12,Yes
Mother Dairy Sprite Economy Pack of 5 - EPV1,BEV-MOTHER-009306207,8907936291117,Refreshing Mother Dairy Sprite Economy Pack of 5 - EPV1 from Mother Dairy. Perfect for hot Indian summers.,Beverages,Mother Dairy,Pieces,Chennai Spice House,33,47,52,40,20,100,,12,Yes
Dabur Coconut Water Super - 8NGH,BEV-DABUR-009339304,8908729776630,Natural and healthy Dabur Coconut Water Super - 8NGH. No artificial colors or preservatives.,Beverages,Dabur,Pieces,Chennai Spice House,34,48,53,33,20,100,,12,Yes
Whiskas Fresh Lime Classic Pack of 5 - 4OGJ,BEV-WHISK-009372249,8902277655896,Natural and healthy Whiskas Fresh Lime Classic Pack of 5 - 4OGJ. No artificial colors or preservatives.,Beverages,Whiskas,Pack,Bangalore Fresh Produce,29,41,45,89,20,100,,12,Yes
Whiskas Orange Juice Family Pack - F1PO,BEV-WHISK-009405408,8901666969724,Natural and healthy Whiskas Orange Juice Family Pack - F1PO. No artificial colors or preservatives.,Beverages,Whiskas,Box,Pune Organic Supplies,36,52,57,51,20,100,,12,Yes
Everest Buttermilk 200ml - W07N,BEV-EVER-009438479,8909507644390,Natural and healthy Everest Buttermilk 200ml - W07N. No artificial colors or preservatives.,Beverages,Everest,Dozen,Pune Organic Supplies,44,63,69,21,20,100,,12,Yes
Whiskas Lemon Drink Economy Family Pack - PVI6,BEV-WHISK-009470412,8904164156911,Refreshing Whiskas Lemon Drink Economy Family Pack - PVI6 from Whiskas. Perfect for hot Indian summers.,Beverages,Whiskas,Pieces,Pune Organic Supplies,54,77,85,29,20,100,,12,Yes
Haldiram Lemon Drink Economy 1kg - BBDB,BEV-HALDI-009506133,8904576789492,Premium quality Haldiram Lemon Drink Economy 1kg - BBDB with authentic taste. Hygienically packed.,Beverages,Haldiram,Kilogram,Hyderabad Dairy Co-op,39,55,61,80,20,100,,12,Yes
Amul Fresh Lime Premium 1kg - 8FGR,BEV-AMUL-009539175,8901192653434,Premium quality Amul Fresh Lime Premium 1kg - 8FGR with authentic taste. Hygienically packed.,Beverages,Amul,Dozen,Chennai Spice House,39,56,62,75,20,100,,12,Yes
ITC Fresh Lime Classic 250g - XKHU,BEV-ITC-009572948,8909811364469,Premium quality ITC Fresh Lime Classic 250g - XKHU with authentic taste. Hygienically packed.,Beverages,ITC,Pieces,Chennai Spice House,50,71,78,32,20,100,,12,Yes
ITC Iced Tea 250g - 6EBT,BEV-ITC-009605329,8907833380254,Natural and healthy ITC Iced Tea 250g - 6EBT. No artificial colors or preservatives.,Beverages,ITC,Dozen,Bangalore Fresh Produce,55,79,87,66,20,100,,12,Yes
Parle Fresh Lime Deluxe 500g - FNYY,BEV-PARLE-009636818,8905520766095,Natural and healthy Parle Fresh Lime Deluxe 500g - FNYY. No artificial colors or preservatives.,Beverages,Parle,Gram,Mumbai FMCG Distributors,29,41,45,152,20,100,,12,Yes
Himalaya Lemon Drink Economy Pack of 5 - RUDI,BEV-HIMAL-009669594,8901288816935,Natural and healthy Himalaya Lemon Drink Economy Pack of 5 - RUDI. No artificial colors or preservatives.,Beverages,Himalaya,Litre,Hyderabad Dairy Co-op,45,64,70,48,20,100,,12,Yes
Haldiram Coconut Water Fresh Pack of 5 - SQRS,BEV-HALDI-009705684,8906179984020,Refreshing Haldiram Coconut Water Fresh Pack of 5 - SQRS from Haldiram. Perfect for hot Indian summers.,Beverages,Haldiram,Pack,Chennai Spice House,30,43,47,19,20,100,,12,Yes
Tata Sampann Sprite Fresh 250g - A8YP,BEV-TATAS-009740419,8904556183485,Natural and healthy Tata Sampann Sprite Fresh 250g - A8YP. No artificial colors or preservatives.,Beverages,Tata Sampann,Kilogram,Ahmedabad Snack Mills,40,57,63,15,20,100,,12,Yes
Vadilal Orange Juice 1kg - RUZN,BEV-VADIL-009775905,8903464861166,Refreshing Vadilal Orange Juice 1kg - RUZN from Vadilal. Perfect for hot Indian summers.,Beverages,Vadilal,Box,Pune Organic Supplies,41,59,65,181,20,100,,12,Yes
MTR Iced Tea Classic Pack of 2 - FRZT,BEV-MTR-009811516,8909047580032,Premium quality MTR Iced Tea Classic Pack of 2 - FRZT with authentic taste. Hygienically packed.,Beverages,MTR,Pack,Pune Organic Supplies,41,58,64,66,20,100,,12,Yes
Everest Buttermilk Fresh 200ml - UVHI,BEV-EVER-009843617,8904333335896,Refreshing Everest Buttermilk Fresh 200ml - UVHI from Everest. Perfect for hot Indian summers.,Beverages,Everest,Dozen,Delhi Wholesale Market,39,55,61,33,20,100,,12,Yes
Tata Sampann Coconut Water Deluxe 250g - AUSJ,BEV-TATAS-009877766,8903706357107,Refreshing Tata Sampann Coconut Water Deluxe 250g - AUSJ from Tata Sampann. Perfect for hot Indian summers.,Beverages,Tata Sampann,Gram,Kolkata Trading Company,39,56,62,1,20,100,,12,Yes
Coca Cola Orange Juice Super - SIOD,BEV-COKE-009908225,8909783897629,Refreshing Coca Cola Orange Juice Super - SIOD from Coca Cola. Perfect for hot Indian summers.,Beverages,Coca Cola,Gram,Chennai Spice House,35,50,55,78,20,100,,12,Yes
Everest Sprite Economy Family Pack - Z4SZ,BEV-EVER-009939621,8901829318155,Refreshing Everest Sprite Economy Family Pack - Z4SZ from Everest. Perfect for hot Indian summers.,Beverages,Everest,Kilogram,Delhi Wholesale Market,39,55,61,59,20,100,,12,Yes
Pedigree Cola Special 1kg - YWXP,BEV-PEDI-009971411,8904639635113,Refreshing Pedigree Cola Special 1kg - YWXP from Pedigree. Perfect for hot Indian summers.,Beverages,Pedigree,Millilitre,Chennai Spice House,53,75,83,55,20,100,,12,Yes
MTR Energy Drink Economy 250g - I7X7,BEV-MTR-010003596,8909763270442,Premium quality MTR Energy Drink Economy 250g - I7X7 with authentic taste. Hygienically packed.,Beverages,MTR,Millilitre,Kolkata Trading Company,39,55,61,73,20,100,,12,Yes
MTR Buttermilk Super 500ml - CTEE,BEV-MTR-010036656,8903920219019,Natural and healthy MTR Buttermilk Super 500ml - CTEE. No artificial colors or preservatives.,Beverages,MTR,Pieces,Pune Organic Supplies,42,60,66,39,20,100,,12,Yes
Coca Cola Orange Juice Organic Pack of 2 - 8E07,BEV-COKE-010071132,8903735672561,Premium quality Coca Cola Orange Juice Organic Pack of 2 - 8E07 with authentic taste. Hygienically packed.,Beverages,Coca Cola,Dozen,Mumbai FMCG Distributors,31,45,50,6,20,100,,12,Yes
Godrej Apple Juice Economy 250g - JAWI,BEV-GODREJ-010111613,8901694596779,Premium quality Godrej Apple Juice Economy 250g - JAWI with authentic taste. Hygienically packed.,Beverages,Godrej,Kilogram,Chennai Spice House,41,59,65,76,20,100,,12,Yes
Kissan Cola Natural 500ml - 9VFO,BEV-KISSAN-010145516,8906781971106,Natural and healthy Kissan Cola Natural 500ml - 9VFO. No artificial colors or preservatives.,Beverages,Kissan,Millilitre,Pune Organic Supplies,31,44,48,62,20,100,,12,Yes
Amul Iced Tea Economy Family Pack - TPQU,BEV-AMUL-010177239,8908962114460,Refreshing Amul Iced Tea Economy Family Pack - TPQU from Amul. Perfect for hot Indian summers.,Beverages,Amul,Litre,Pune Organic Supplies,39,56,62,50,20,100,,12,Yes
Coca Cola Lemon Drink Pack of 5 - ASZP,BEV-COKE-010215989,8901106881811,Natural and healthy Coca Cola Lemon Drink Pack of 5 - ASZP. No artificial colors or preservatives.,Beverages,Coca Cola,Pack,Pune Organic Supplies,31,44,48,69,20,100,,12,Yes
Amul Energy Drink Fresh 200ml - PIPU,BEV-AMUL-010249615,8909324369538,Natural and healthy Amul Energy Drink Fresh 200ml - PIPU. No artificial colors or preservatives.,Beverages,Amul,Pack,Delhi Wholesale Market,30,43,47,50,20,100,,12,Yes
Mother Dairy Apple Juice Fresh 250g - K8N0,BEV-MOTHER-010282572,8907676671427,Refreshing Mother Dairy Apple Juice Fresh 250g - K8N0 from Mother Dairy. Perfect for hot Indian summers.,Beverages,Mother Dairy,Box,Ahmedabad Snack Mills,39,56,62,81,20,100,,12,Yes
Havells Orange Juice Classic 200ml - RSMF,BEV-HAVELL-010316694,8903180644421,Natural and healthy Havells Orange Juice Classic 200ml - RSMF. No artificial colors or preservatives.,Beverages,Havells,Dozen,Bangalore Fresh Produce,28,40,44,58,20,100,,12,Yes
Maggi Coconut Water Super - F6FW,BEV-MAGGI-010348234,8903103165915,Refreshing Maggi Coconut Water Super - F6FW from Maggi. Perfect for hot Indian summers.,Beverages,Maggi,Litre,Mumbai FMCG Distributors,39,56,62,56,20,100,,12,Yes
Unilever Sprite Economy 1kg - WNA8,BEV-UNIL-010381650,8902195139125,Refreshing Unilever Sprite Economy 1kg - WNA8 from Unilever. Perfect for hot Indian summers.,Beverages,Unilever,Millilitre,Mumbai FMCG Distributors,39,56,62,44,20,100,,12,Yes
Himalaya Sprite Organic 500g - 8EEN,BEV-HIMAL-010413924,8902727013195,Natural and healthy Himalaya Sprite Organic 500g - 8EEN. No artificial colors or preservatives.,Beverages,Himalaya,Kilogram,Mumbai FMCG Distributors,43,61,67,58,20,100,,12,Yes
Havells Sprite Special 200ml - VXMK,BEV-HAVELL-010447351,8903869067013,Premium quality Havells Sprite Special 200ml - VXMK with authentic taste. Hygienically packed.,Beverages,Havells,Dozen,Kolkata Trading Company,53,76,84,84,20,100,,12,Yes
Nirma Fresh Lime Natural 1L - K9VA,BEV-NIRMA-010481725,8908421064541,Refreshing Nirma Fresh Lime Natural 1L - K9VA from Nirma. Perfect for hot Indian summers.,Beverages,Nirma,Pieces,Delhi Wholesale Market,33,47,52,38,20,100,,12,Yes
PepsiCo Energy Drink Super Pack of 5 - 28NA,BEV-PEPSI-010514732,8901788888045,Natural and healthy PepsiCo Energy Drink Super Pack of 5 - 28NA. No artificial colors or preservatives.,Beverages,PepsiCo,Pack,Kolkata Trading Company,39,56,62,42,20,100,,12,Yes
Godrej Lemon Drink Natural - IAIF,BEV-GODREJ-010545516,8901618640248,Refreshing Godrej Lemon Drink Natural - IAIF from Godrej. Perfect for hot Indian summers.,Beverages,Godrej,Dozen,Ahmedabad Snack Mills,40,57,63,132,20,100,,12,Yes
Fortune Coconut Water Natural 200ml - 1UYT,BEV-FORT-010578146,8909562118245,Refreshing Fortune Coconut Water Natural 200ml - 1UYT from Fortune. Perfect for hot Indian summers.,Beverages,Fortune,Kilogram,Mumbai FMCG Distributors,34,49,54,34,20,100,,12,Yes
ITC Iced Tea Deluxe Pack of 2 - 4F1Q,BEV-ITC-010610698,8907571320448,Refreshing ITC Iced Tea Deluxe Pack of 2 - 4F1Q from ITC. Perfect for hot Indian summers.,Beverages,ITC,Kilogram,Hyderabad Dairy Co-op,38,54,59,97,20,100,,12,Yes
Bajaj Coconut Water Organic 250g - NZ42,BEV-BAJAJ-010642573,8905675978864,Refreshing Bajaj Coconut Water Organic 250g - NZ42 from Bajaj. Perfect for hot Indian summers.,Beverages,Bajaj,Box,Chennai Spice House,43,61,67,73,20,100,,12,Yes
India Gate Iced Tea Natural 1L - 8QNJ,BEV-INDGATE-010673777,8901645549909,Refreshing India Gate Iced Tea Natural 1L - 8QNJ from India Gate. Perfect for hot Indian summers.,Beverages,India Gate,Dozen,Chennai Spice House,39,55,61,55,20,100,,12,Yes
Fortune Orange Juice Economy Family Pack - S1TX,BEV-FORT-010706113,8906302612141,Premium quality Fortune Orange Juice Economy Family Pack - S1TX with authentic taste. Hygienically packed.,Beverages,Fortune,Dozen,Pune Organic Supplies,40,57,63,-8,20,100,,12,Yes
Marico Sprite Fresh 200ml - UF8O,BEV-MARICO-010739531,8909877933001,Premium quality Marico Sprite Fresh 200ml - UF8O with authentic taste. Hygienically packed.,Beverages,Marico,Dozen,Mumbai FMCG Distributors,40,57,63,46,20,100,,12,Yes
Unilever Cola Economy Family Pack - UUMA,BEV-UNIL-010773940,8901338698227,Refreshing Unilever Cola Economy Family Pack - UUMA from Unilever. Perfect for hot Indian summers.,Beverages,Unilever,Millilitre,Ahmedabad Snack Mills,37,53,58,59,20,100,,12,Yes
Bajaj Coconut Water Special 1kg - AAFO,BEV-BAJAJ-010805541,8907443219469,Natural and healthy Bajaj Coconut Water Special 1kg - AAFO. No artificial colors or preservatives.,Beverages,Bajaj,Gram,Bangalore Fresh Produce,50,72,79,92,20,100,,12,Yes
Pedigree Lemon Drink Deluxe - O6IU,BEV-PEDI-010841763,8904715868817,Premium quality Pedigree Lemon Drink Deluxe - O6IU with authentic taste. Hygienically packed.,Beverages,Pedigree,Kilogram,Hyderabad Dairy Co-op,41,58,64,77,20,100,,12,Yes
Patanjali Sprite Fresh 500ml - QXJI,BEV-PATAN-010872186,8901712237795,Premium quality Patanjali Sprite Fresh 500ml - QXJI with authentic taste. Hygienically packed.,Beverages,Patanjali,Box,Kolkata Trading Company,45,64,70,47,20,100,,12,Yes
Nirma Lassi 1L - ZQDR,BEV-NIRMA-010904945,8902764342435,Natural and healthy Nirma Lassi 1L - ZQDR. No artificial colors or preservatives.,Beverages,Nirma,Box,Pune Organic Supplies,53,75,83,60,20,100,,12,Yes
Godrej Mango Juice Special Pack of 5 - RXLM,BEV-GODREJ-010937837,8906967266874,Refreshing Godrej Mango Juice Special Pack of 5 - RXLM from Godrej. Perfect for hot Indian summers.,Beverages,Godrej,Millilitre,Kolkata Trading Company,48,69,76,49,20,100,,12,Yes
Maggi Buttermilk Special 500g - NV9X,BEV-MAGGI-010971900,8903009162232,Premium quality Maggi Buttermilk Special 500g - NV9X with authentic taste. Hygienically packed.,Beverages,Maggi,Dozen,Ahmedabad Snack Mills,37,53,58,17,20,100,,12,Yes
Mother Dairy Coconut Water Deluxe 500ml - GNDC,BEV-MOTHER-011006450,8909581413570,Natural and healthy Mother Dairy Coconut Water Deluxe 500ml - GNDC. No artificial colors or preservatives.,Beverages,Mother Dairy,Gram,Pune Organic Supplies,37,53,58,92,20,100,,12,Yes
India Gate Buttermilk Economy Family Pack - PQLU,BEV-INDGATE-011037560,8902007277563,Refreshing India Gate Buttermilk Economy Family Pack - PQLU from India Gate. Perfect for hot Indian summers.,Beverages,India Gate,Dozen,Chennai Spice House,53,76,84,65,20,100,,12,Yes
Bajaj Coconut Water Fresh 250g - AT3B,BEV-BAJAJ-011070180,8909098832517,Refreshing Bajaj Coconut Water Fresh 250g - AT3B from Bajaj. Perfect for hot Indian summers.,Beverages,Bajaj,Kilogram,Bangalore Fresh Produce,39,56,62,54,20,100,,12,Yes
MTR Buttermilk Economy Pack of 5 - G9WS,BEV-MTR-011105531,8908318074898,Natural and healthy MTR Buttermilk Economy Pack of 5 - G9WS. No artificial colors or preservatives.,Beverages,MTR,Dozen,Kolkata Trading Company,57,81,89,43,20,100,,12,Yes
Maggi Cola Organic 500ml - GI1J,BEV-MAGGI-011137329,8903783057352,Premium quality Maggi Cola Organic 500ml - GI1J with authentic taste. Hygienically packed.,Beverages,Maggi,Kilogram,Pune Organic Supplies,31,45,50,30,20,100,,12,Yes
Kissan Orange Juice Natural 500g - TRGP,BEV-KISSAN-011171367,8901612640872,Natural and healthy Kissan Orange Juice Natural 500g - TRGP. No artificial colors or preservatives.,Beverages,Kissan,Dozen,Hyderabad Dairy Co-op,43,62,68,48,20,100,,12,Yes
Coca Cola Lemon Drink Natural Pack of 2 - C7C1,BEV-COKE-011202360,8904663139373,Refreshing Coca Cola Lemon Drink Natural Pack of 2 - C7C1 from Coca Cola. Perfect for hot Indian summers.,Beverages,Coca Cola,Millilitre,Hyderabad Dairy Co-op,41,59,65,20,20,100,,12,Yes
Pedigree Lemon Drink Economy Pack of 2 - Z3VV,BEV-PEDI-011238483,8902698024741,Natural and healthy Pedigree Lemon Drink Economy Pack of 2 - Z3VV. No artificial colors or preservatives.,Beverages,Pedigree,Pieces,Hyderabad Dairy Co-op,39,56,62,25,20,100,,12,Yes
Tata Sampann Coconut Water Fresh 250g - QJEP,BEV-TATAS-011273293,8906432658387,Refreshing Tata Sampann Coconut Water Fresh 250g - QJEP from Tata Sampann. Perfect for hot Indian summers.,Beverages,Tata Sampann,Gram,Hyderabad Dairy Co-op,29,42,46,99,20,100,,12,Yes
Amul Apple Juice Economy Family Pack - B3O9,BEV-AMUL-011306948,8907689970216,Premium quality Amul Apple Juice Economy Family Pack - B3O9 with authentic taste. Hygienically packed.,Beverages,Amul,Pack,Delhi Wholesale Market,29,41,45,25,20,100,,12,Yes
Bajaj Mango Juice Classic 1L - ITS1,BEV-BAJAJ-011338808,8906549483662,Refreshing Bajaj Mango Juice Classic 1L - ITS1 from Bajaj. Perfect for hot Indian summers.,Beverages,Bajaj,Box,Pune Organic Supplies,54,77,85,91,20,100,,12,Yes
Maggi Iced Tea Special Pack of 5 - XFPZ,BEV-MAGGI-011372876,8901007671506,Refreshing Maggi Iced Tea Special Pack of 5 - XFPZ from Maggi. Perfect for hot Indian summers.,Beverages,Maggi,Pieces,Bangalore Fresh Produce,41,58,64,45,20,100,,12,Yes
PepsiCo Buttermilk Organic - YQOE,BEV-PEPSI-011406578,8905315137401,Premium quality PepsiCo Buttermilk Organic - YQOE with authentic taste. Hygienically packed.,Beverages,PepsiCo,Pieces,Hyderabad Dairy Co-op,30,43,47,46,20,100,,12,Yes
Everest Buttermilk 1kg - 93V2,BEV-EVER-011442490,8906604594774,Natural and healthy Everest Buttermilk 1kg - 93V2. No artificial colors or preservatives.,Beverages,Everest,Pack,Chennai Spice House,39,55,61,46,20,100,,12,Yes
Amul Mango Juice Deluxe 1kg - J6WD,BEV-AMUL-011476203,8902761931895,Natural and healthy Amul Mango Juice Deluxe 1kg - J6WD. No artificial colors or preservatives.,Beverages,Amul,Pack,Delhi Wholesale Market,31,45,50,88,20,100,,12,Yes
Marico Energy Drink Fresh 200ml - 89NC,BEV-MARICO-011509205,8903073162964,Refreshing Marico Energy Drink Fresh 200ml - 89NC from Marico. Perfect for hot Indian summers.,Beverages,Marico,Litre,Bangalore Fresh Produce,49,70,77,62,20,100,,12,Yes
Procter & Gamble Cola Super 200ml - OTNY,BEV-PG-011552432,8909889413352,Premium quality Procter & Gamble Cola Super 200ml - OTNY with authentic taste. Hygienically packed.,Beverages,Procter & Gamble,Pack,Bangalore Fresh Produce,46,65,72,40,20,100,,12,Yes
Vadilal Energy Drink Deluxe 1L - K1WM,BEV-VADIL-011592314,8909737198118,Natural and healthy Vadilal Energy Drink Deluxe 1L - K1WM. No artificial colors or preservatives.,Beverages,Vadilal,Kilogram,Hyderabad Dairy Co-op,33,47,52,84,20,100,,12,Yes
Maggi Coconut Water Special Family Pack - ZPOL,BEV-MAGGI-011634481,8902962523639,Natural and healthy Maggi Coconut Water Special Family Pack - ZPOL. No artificial colors or preservatives.,Beverages,Maggi,Millilitre,Mumbai FMCG Distributors,55,78,86,71,20,100,,12,Yes
Emami Buttermilk Fresh 500ml - O2DS,BEV-EMAMI-011682307,8903862027885,Refreshing Emami Buttermilk Fresh 500ml - O2DS from Emami. Perfect for hot Indian summers.,Beverages,Emami,Gram,Bangalore Fresh Produce,39,55,61,98,20,100,,12,Yes
PepsiCo Fresh Lime Premium - NWGA,BEV-PEPSI-011725293,8904172321627,Premium quality PepsiCo Fresh Lime Premium - NWGA with authentic taste. Hygienically packed.,Beverages,PepsiCo,Box,Bangalore Fresh Produce,33,47,52,37,20,100,,12,Yes
MTR Energy Drink Classic 500g - IWRS,BEV-MTR-011758290,8902772117182,Refreshing MTR Energy Drink Classic 500g - IWRS from MTR. Perfect for hot Indian summers.,Beverages,MTR,Pieces,Kolkata Trading Company,48,69,76,29,20,100,,12,Yes
Fortune Sprite Economy 500ml - VYFB,BEV-FORT-011793616,8905170897986,Premium quality Fortune Sprite Economy 500ml - VYFB with authentic taste. Hygienically packed.,Beverages,Fortune,Litre,Pune Organic Supplies,55,79,87,48,20,100,,12,Yes
MTR Fresh Lime Special Pack of 2 - 01CR,BEV-MTR-011829976,8905484078513,Refreshing MTR Fresh Lime Special Pack of 2 - 01CR from MTR. Perfect for hot Indian summers.,Beverages,MTR,Litre,Bangalore Fresh Produce,40,57,63,37,20,100,,12,Yes
Haldiram Lemon Drink Special 500g - LUYB,BEV-HALDI-011863812,8909927449861,Refreshing Haldiram Lemon Drink Special 500g - LUYB from Haldiram. Perfect for hot Indian summers.,Beverages,Haldiram,Pack,Kolkata Trading Company,41,58,64,92,20,100,,12,Yes
Nirma Iced Tea Organic 250g - YWFD,BEV-NIRMA-011900353,8907348410280,Refreshing Nirma Iced Tea Organic 250g - YWFD from Nirma. Perfect for hot Indian summers.,Beverages,Nirma,Millilitre,Delhi Wholesale Market,56,80,88,79,20,100,,12,Yes
Havells Apple Juice Classic - 8N5F,BEV-HAVELL-011938784,8902570330614,Refreshing Havells Apple Juice Classic - 8N5F from Havells. Perfect for hot Indian summers.,Beverages,Havells,Dozen,Hyderabad Dairy Co-op,59,84,92,55,20,100,,12,Yes
Marico Product Natural 200ml - HYFO,DAI-MARICO-011974620,8908405761740,Quality Marico Product Natural 200ml - HYFO from Marico. Trusted by Indian families.,Dairy,Marico,Dozen,Chennai Spice House,34,48,53,35,20,100,,5,Yes
Whiskas Product Super Family Pack - OSFW,DAI-WHISK-012015655,8905382331377,Fresh Whiskas Product Super Family Pack - OSFW at best prices. Perfect for daily use.,Dairy,Whiskas,Millilitre,Hyderabad Dairy Co-op,35,50,55,49,20,100,,5,Yes
Marico Product Premium Pack of 5 - NOLQ,DAI-MARICO-012060616,8903525838517,Quality Marico Product Premium Pack of 5 - NOLQ from Marico. Trusted by Indian families.,Dairy,Marico,Millilitre,Kolkata Trading Company,49,70,77,41,20,100,,5,Yes
